x,y,Clay,SOC,pH,CEC
15.55348,46.91088,21,11.1,5.56,12.4
15.53648,46.74932,19,16.5,7,14.9
15.73694,48.81371,11,33.7,4.24,6.8
15.71855,48.6523,11,54.6,5.18,11.1
15.62483,48.06182,24,28.5,5.72,14.6
15.61684,47.99018,39,53.4,7.14,33.4
15.54089,47.29046,22,153.9,4.06,18.2
15.54336,47.56105,6,56.6,4.42,10.2
15.51265,47.27392,23,53.8,6.8,26
15.47879,46.95068,16,16.8,5.33,3.8
15.45084,46.6815,16,41.4,6.03,15.5
15.64551,48.72819,13,18.6,6.19,9.3
15.63923,48.67443,25,12.9,7.67,17.7
15.59901,48.31575,27,17,7.45,18.5
15.58997,48.24413,29,13.5,7.35,15.9
15.42657,46.70079,22,30.2,6.28,9.8
15.59906,48.80273,28,14.4,6.93,16.4
15.53145,48.19296,23,22.4,7.72,17.7
15.52842,48.15717,22,16.3,7.51,13.9
15.4206,47.15221,27,83.8,6.06,26.4
15.3781,46.73934,30,25.3,6.56,26.3
15.56195,48.71435,12,15.6,4.86,5.3
15.54801,48.58884,13,21.1,6.33,8.8
15.44301,47.62019,14,71.5,4.84,10.3
15.40163,47.22535,16,61.1,6.13,21.6
15.37188,46.93805,20,16.8,5.91,12.7
15.35869,47.06507,24,18.2,4.33,9.9
15.44129,48.10724,26,46,7.11,33.7
15.39734,47.94696,50,72,6.3,47.4
15.32823,47.28316,23,115.9,6.98,36
15.27188,46.72655,20,44.5,4.33,9.1
15.47135,48.88106,19,23.1,4.44,11
15.37632,48.00218,43,68.2,5.42,27.9
15.41474,48.61348,12,26.4,5.45,9.3
15.24828,47.01638,24,21.8,5.84,14.3
15.40149,48.74036,21,18.7,4.8,9.8
15.34367,48.20222,19,15,5.37,10
15.33188,48.09424,18,12.5,6.35,12.1
15.30601,47.84333,45,92,6.89,55.1
15.19225,46.98299,21,37.5,4.83,6.4
15.17811,46.83933,13,34,4.77,7.8
15.14844,46.80467,7,91.1,4,7.2
15.33921,48.92362,9,11.3,5.75,10.3
15.28752,48.43902,16,15.9,6.49,10.2
15.19329,47.52405,17,50.1,7.22,21.4
15.22511,48.09968,25,30.5,6.25,17.9
15.26222,48.71081,14,13.3,6.87,9
15.1855,47.9753,36,20.6,4.75,10.9
15.2141,48.51494,18,33,5.89,15.6
15.2229,48.85696,18,17.6,5.6,7.7
15.20201,48.65971,25,35,5.14,11
15.17243,48.37249,13,21,5.72,8.2
15.14295,48.08554,45,64.6,7.57,49.5
15.07521,47.40323,21,63.8,6.24,26.2
15.05053,47.15207,18,35.4,5.83,14.8
15.18612,48.7686,17,18.9,6.73,10.9
15.17151,48.62579,13,23.8,6.56,11.2
15.0398,47.31496,11,34.5,4.19,12.6
15.11484,48.33929,16,55.7,4.39,8.8
15.10567,48.24957,19,58.1,4.92,5.8
15.04298,47.89182,26,120.8,7.42,60.3
15.08086,48.53914,12,22,6.09,10.2
14.99701,47.69557,0,227.8,7.49,96.2
14.89002,46.56417,19,33.3,4.19,9.8
15.09048,48.89921,12,52,4.01,6.8
15.06112,48.61214,15,100.2,3.85,11.3
14.99286,48.20063,10,22.9,5.23,10.4
15.01784,48.72225,11,21.1,5.92,7.6
14.97484,48.29155,16,29.7,5.89,11.7
14.92761,47.80693,31,22.5,5.2,7.4
14.8754,47.53878,19,25.3,4.44,8.4
14.8619,47.39512,8,21.2,5.78,7
14.81198,46.85632,20,27.3,6.41,15.2
14.94929,48.58115,16,31.9,6.07,10.3
14.81385,47.16287,17,38.4,5.53,17.2
14.77444,46.73172,19,42.4,6.26,29.3
14.76969,46.67797,7,15.3,6.67,13.7
14.9311,48.6721,20,44.5,6.5,18
14.78615,47.14589,9,22,5.72,11
14.90403,48.67327,13,108.3,3.85,13.2
14.86554,48.27839,23,56.2,4.22,11.3
14.85003,48.11686,21,29.3,7.74,18.3
14.82236,48.38832,16,26.3,5.76,9.4
14.78626,48.01149,36,28.2,6.22,21.5
14.77618,47.90374,39,35.5,4.86,18.2
14.79731,48.69593,34,82.2,4.86,10.1
14.71613,47.83426,30,24.8,5.5,14.8
14.75141,48.49965,9,53.8,4.14,5.5
14.74291,48.40991,13,54.6,5.37,13.5
14.71768,48.14063,35,22.8,5.71,19.8
14.71266,48.08677,23,15.8,6.6,15.3
14.5734,46.83061,13,36.7,5.33,18.9
14.69066,48.43018,16,50.9,4.23,8.8
14.66075,48.10699,20,14.1,5.09,8
14.53951,46.74185,23,35.7,5.75,18.1
14.63893,48.16199,43,44.5,4.42,20.6
14.6274,48.0363,35,34.4,6.18,22.1
14.61852,48.23492,19,42.6,5.61,14.9
14.59413,47.96561,27,18.4,5.69,11.1
14.46271,46.76313,16,22.9,7.43,15.6
14.53267,47.87805,43,38.6,5.61,31.1
14.42158,46.58448,16,28.6,7.6,18.9
14.51555,47.98689,32,24.3,5.88,17
14.4099,46.76525,17,20.7,7.58,15.4
14.50153,48.13165,14,12.5,7.58,11.2
14.38137,46.71286,19,21.1,6.52,14.1
14.48716,48.25844,18,17.8,7.66,13.7
14.34057,46.55171,9,37.9,7.74,17.6
14.4845,48.54683,40,74.1,5.41,19.4
14.39511,47.52314,12,31.7,6.36,7
14.33363,46.78643,10,36.8,4.31,8.1
14.32761,46.71455,14,42.1,7.29,22.6
14.32471,46.67859,24,169.8,5.62,67.3
14.32331,46.66061,13,38.1,5.9,16
14.44473,48.40425,11,78.6,4.33,9.2
14.42735,48.20674,28,21.8,6.57,20.3
14.41637,48.08103,38,37,6.94,28.3
14.40238,47.91938,25,31.3,7.84,21.5
14.42566,48.49513,17,31.7,5.38,12
14.28515,46.84252,10,37.7,6.98,18.3
14.26247,46.55484,12,42.6,7.83,25
14.28916,47.52776,16,44.7,5.61,15.2
14.2925,47.8877,53,105.1,7.24,66.2
14.23314,47.16906,23,42.6,5.28,16.7
14.19147,46.64781,16,22.7,5.19,5.8
14.29521,48.55431,15,48.6,4.06,9.8
14.29369,48.53634,15,28.9,5.78,9.9
14.29061,48.50043,23,47.6,5.24,14.2
14.24961,48.01552,32,21.9,6.25,16.8
14.23615,47.85385,45,162.3,7.01,82.2
14.2576,48.42971,0,330.3,4.13,30.9
14.24839,48.32187,18,37.6,4.12,7.7
14.24426,48.2681,17,10.8,6.46,10.2
14.10356,46.52496,0,294.5,6.77,87.6
14.20356,48.10767,19,10.7,6.97,12.7
14.21256,48.53947,18,29.9,5.34,7
14.10154,47.51706,18,97,5.28,13.7
14.04057,46.72568,15,49.2,5.74,14.2
14.13185,48.2182,21,14.6,6.29,14.7
14.10229,48.18349,21,55,7.56,31.3
14.09335,48.07552,33,48.1,6.59,32.6
14.08901,48.02105,21,19.8,7.22,17.8
13.98016,46.61979,16,44.5,6.97,24.4
14.0524,47.8969,32,31.9,4.32,14.9
14.06571,48.40083,19,35.5,5.24,11.2
14.0498,48.20322,33,21.4,6.37,24.1
14.04741,48.50959,20,29,6.04,14.9
14.03445,48.34792,15,10.8,7.54,10.1
