x,y,Clay,SOC,pH,CEC
16.2439,49.58021,13,27.6,6.93,16.6
16.20253,49.25783,13,45.4,4,12
16.13027,48.901,11,17.6,6.77,10.2
16.23027,49.90565,16,14.2,7.13,14.5
16.20945,49.74447,15,23.9,6.34,14.6
16.10759,48.93826,13,25.8,6.55,17.7
16.27553,50.46227,11,39.2,4.04,8.3
16.25888,50.33694,12,27.9,5.16,8.3
16.13394,49.3698,12,14.4,6.13,8.3
16.12943,49.33396,20,15.7,7.16,13.4
16.09368,49.04731,13,28.5,4.63,5.6
16.08923,49.01146,20,16.7,6.45,9.7
16.0841,49.19213,15,10.2,6.39,10.1
16.06859,49.06667,7,8,5.06,3.5
16.19582,50.28627,33,19.3,6.61,15.5
16.1818,50.17881,53,34.2,6.57,31.8
16.16551,50.05345,41,29.6,6.67,27.1
16.14022,49.85645,42,30,7.45,29.3
16.10103,49.76841,22,38.3,5.86,14.7
16.17968,50.59372,13,10.8,5.31,10.6
16.07561,49.78778,16,21.3,6.76,10.6
15.99969,49.17879,10,17,4.16,8.3
15.99546,49.1428,16,14.2,6.92,11.7
16.12114,50.36243,24,12.1,5.57,12.6
16.07699,50.23855,13,14.4,6.75,7.8
16.03599,49.91616,27,12.2,6.67,12.1
16.01583,49.75501,16,151.7,3.8,12.8
16.0068,49.68324,0,326.9,4,23
15.96699,49.36075,13,22.7,6.25,13.8
15.90848,48.87688,26,12.8,6.45,14.7
16.02401,50.04301,31,25.5,6.34,22
15.91129,49.12927,28,29.9,7.48,32.5
15.88617,49.14859,7,16.8,4.98,6.7
16.00221,50.31464,38,22.8,7.34,20.1
15.94159,49.83097,19,13.3,6.53,11.7
15.82478,48.86327,14,21.6,5.11,5.3
15.94049,50.04741,53,20.3,7.94,33.1
15.92049,49.88616,29,56.5,6.88,29.2
15.85712,49.36652,26,58.9,4.07,17.5
15.83794,49.20524,28,16.5,7.25,13.6
15.96429,50.46087,17,22.6,5.4,8.4
15.95522,50.38924,28,14.8,7.51,18.6
15.86576,50.12341,27,18.6,6.12,17.5
15.83064,49.83671,17,27.4,5.91,13
15.77267,49.35287,23,22.6,6.18,11.6
15.69503,48.92407,32,11.2,6.22,16.1
15.82974,50.28751,41,47.5,6.97,37.5
15.78602,49.92921,29,25.3,7.24,22.3
15.76663,49.76789,22,31.4,5.49,11.3
15.67611,48.99715,19,12.9,6.48,15.5
15.79301,50.21726,15,12.7,6.15,9.2
15.76042,49.9485,43,16.7,7.87,19
15.64679,48.98059,29,12,7.12,19.2
15.81347,50.61285,19,17.4,5.58,8.9
15.69219,49.60939,11,13.4,5.76,7.4
15.75452,50.36343,39,14.8,7.08,25.9
15.63538,49.35984,15,12,6.93,16.7
15.58414,48.91162,28,15.8,5.99,12.5
15.65166,49.73764,19,22,5.63,10.1
15.61411,49.41498,31,17.3,5.67,18.7
15.68336,50.24081,23,16.8,6.79,13.9
15.56613,49.23708,14,22.8,5.6,8.5
15.54787,49.07572,18,15.5,5.87,10.9
15.64048,50.11676,22,15.3,7.04,12.9
15.546806,49.31018,12,24.1,4.2,16.5
15.67253,50.61989,16,16.6,6.62,12
15.61468,50.13606,7,18.6,5.12,4
15.52552,49.3653,15,18.8,6.27,11.8
15.49927,49.13221,18,15.2,5.51,12.6
15.54095,49.74311,22,98,3.81,12.8
15.49894,49.61898,22,26.5,6.54,16
15.48473,49.49348,13,21.4,6.53,13
15.47262,49.3859,18,29.9,5.85,7.6
