x,y,Clay,SOC,pH,CEC
13.67656,51.88873,4,5.6,5.71,4.5
13.62047,51.18866,13,81,6.19,36.9
13.73131,52.89466,12,27.7,7.02,16.7
13.72203,52.78701,3,27.8,4.29,4.5
13.68137,52.30245,3,15,4.07,2.1
13.59046,51.17161,3,10.9,6.09,2.5
13.57379,50.95615,10,38,5.36,13.9
13.73552,53.2904,8,11.4,6.81,5.6
13.68037,52.64434,6,5.2,7.09,4.1
13.63739,52.12389,2,7.4,6.16,3.5
13.3849,48.72989,8,21.9,5.79,7
13.69784,53.20157,4,7.2,5.78,3.1
13.65387,52.68114,9,18,6.66,9.1
13.64344,52.55552,4,7,6.42,4.3
13.61402,52.19656,2,32.3,4.69,3.2
13.60099,52.03502,5,45.7,6,14.4
13.57813,51.74788,2,18.7,4.27,4.5
13.56537,51.58624,5,25,4.18,4.9
13.62879,52.73589,6,7.5,6.13,5.2
13.57619,52.08975,3,30.7,4.69,4.3
13.52959,51.49741,10,12.9,6.94,10.3
13.52542,51.44353,8,27.4,6.11,7.5
13.33904,48.8573,18,26.9,5.67,7.4
13.61104,52.88036,4,9.3,4.46,2.7
13.54135,52.01882,2,21.2,4.26,3.8
13.45874,50.94169,12,168.8,4.11,13.8
13.44945,50.81599,17,107.3,3.83,12.2
13.28913,48.51677,24,16.3,7.27,21.7
13.56428,52.63004,10,8.5,7.61,7.4
13.41186,50.69112,18,23.7,6.02,10.3
13.5357,52.68469,3,12.9,4.47,1
13.38227,50.67402,18,27.2,5.4,9.4
13.37581,50.58422,11,61.4,3.74,10.5
13.22817,48.41031,12,14.9,6.08,8.8
13.5104,52.73939,2,18.4,4.03,3.2
13.44713,51.93166,3,7.9,6.22,4.7
13.43482,51.77008,2,18.3,4.06,3.1
13.42257,51.60851,6,82.3,3.97,9
13.41173,51.44847,6,14.7,6.07,7
13.37866,51.01602,18,17.3,6.68,11.6
13.37475,50.96214,16,25.9,6.92,12.7
13.58434,53.99663,7,7.8,7.01,6.4
13.52286,53.2608,19,9.5,7.6,8.8
13.51261,53.13516,6,5.8,4.87,1
13.39903,51.68114,2,14.8,3.97,4
13.39417,51.5733,3,16.3,5.88,6.8
13.36325,51.19641,19,13.4,7.49,15.5
13.3554,51.08868,16,12.3,7.27,12.5
13.35149,51.03479,13,13.2,6.61,13.6
13.33274,50.76452,19,27.3,5.13,6.9
13.19476,48.73551,21,23.6,6.38,10
13.46406,52.90267,2,8.7,6.38,3.1
13.38899,51.93332,6,34,3.88,5.6
13.35693,51.50246,15,32.9,7.07,19.9
13.44002,52.97536,0,232.1,4.18,31.8
13.38981,52.32911,3,11,8.15,8
13.33329,51.52473,5,24.8,5.74,7.7
13.26982,50.67686,16,30.4,6.84,17.3
13.12042,48.4135,18,18.9,7.37,16
13.24842,50.78583,18,28.9,5.25,8.3
13.10997,48.68388,13,33.1,7.55,12.9
13.46252,54.00013,6,12,5.95,1
13.37502,52.90524,5,25.4,4.83,9.4
13.31382,52.0974,4,32.3,3.9,2.2
13.24382,51.12783,18,27.3,6.44,16.7
13.23002,50.93028,15,28.5,6.23,13.6
13.07371,48.54075,18,10.8,7,10.3
13.06549,48.37845,33,27.8,6.8,21
13.38162,53.37277,8,11.9,6.22,5.2
13.26749,51.86482,4,51.1,5.46,10.9
13.2624,51.79301,3,10.4,5.49,4.1
13.25071,51.63136,9,12.4,6.67,10.4
13.22535,51.27227,15,11.3,7.02,9.7
13.21028,51.05677,13,66.4,3.81,9.5
13.06563,48.84716,15,32.4,4.37,4.5
