x,y,Clay,SOC,pH,CEC
22.87161,52.49269,3,7,6.71,3.1
22.83521,52.36913,5,8.4,4.48,3.9
22.60715,51.57451,7,37.8,6.75,13.8
22.49919,51.18577,12,8.1,6.67,10.8
22.36975,50.70847,4,25.9,4.13,4.7
22.34501,50.62024,1,9.7,4.28,2.7
22.05784,49.50513,15,8.2,4.7,7
23.18989,53.73376,0,378.7,5.23,100.9
23.09061,53.4164,6,9.8,4.68,2.2
22.80311,52.46371,8,9.8,5.49,4.5
22.49631,51.38643,5,55.5,5.57,10.2
22.18811,50.23683,3,12.8,4.61,5.1
22.04771,49.68813,12,10.5,5.11,7.7
22.02543,49.59956,17,26.2,5.35,15
21.95484,49.31618,14,9.1,4.28,11.9
22.85747,52.74927,9,9.9,6.4,7.5
22.50692,51.53076,5,12.3,4.86,1
22.46295,51.3717,6,13.5,5.45,3.1
22.44835,51.31865,18,3.4,5.93,9.8
22.36161,51.00045,16,10.2,5.11,8.3
22.15128,50.20441,5,7.9,4.32,1
22.11024,50.04512,12,10.1,5.66,5.9
22.0025,49.62019,18,15.7,5.44,17.2
21.9892,49.56706,31,18.9,5.82,16
22.79165,52.62889,4,7.5,4.16,2.9
22.61755,52.02852,30,7.4,4.87,3
21.97957,49.64084,31,19.2,5.74,5.5
23.03436,53.53188,0,229.5,6.17,72.9
23.0234,53.49662,6,10.8,4.79,3.2
22.98534,53.37315,5,10.3,4.68,1
22.65457,52.26123,11,7.8,4.87,2.7
22.59893,52.06696,12,38.9,7.15,18.6
22.55374,51.90797,4,10,4.21,1
22.291,50.95344,11,20.4,5.35,3.7
22.01004,49.87397,15,8.7,5.74,7
21.92131,49.51977,40,33.3,5.38,22.1
22.95031,53.35871,3,13.2,4.83,1
22.63073,52.28201,5,10.6,7.34,5
22.55539,52.01729,5,13.4,4.63,2.2
22.36328,51.3278,15,11.8,6.83,13.7
22.20651,50.744179,1,16.3,4.31,3.5
21.90714,49.57583,25,18.6,5.62,13.1
22.6733,52.53234,7,18.8,4.86,4.5
22.64253,52.42642,8,10.4,6.26,5.9
22.41743,51.63137,7,11.3,4.66,3.9
22.28701,51.154,6,12,5.04,4.7
22.23009,50.94176,4,7.4,6.89,3.5
22.18783,50.78255,9,10.1,5.53,5.6
21.9018,49.66729,33,22.9,6.57,26
21.83611,49.40154,28,45.8,4.21,11.5
22.85605,53.35061,4,26.4,6.79,10.9
22.84536,53.31533,1,6.1,4.6,3.2
22.52879,52.23832,15,17,7.19,15.6
22.43879,51.92027,3,10,4.55,3.3
22.39462,51.76117,3,10.4,4.08,2.3
22.35063,51.60209,7,8.4,4.89,5.5
21.99405,50.25755,3,12.9,5.94,4.1
21.96251,50.13358,6,9.1,4.79,2.5
21.91329,49.93878,21,11.7,7.45,17.6
21.83386,49.61991,16,26.6,6.48,13.2
21.7946,49.46048,30,21.8,4.92,3.2
22.33653,51.65814,4,8.9,4.92,3.7
22.94833,53.85098,10,8.2,5.96,6.5
22.73842,53.1628,10,49.3,7.25,25.6
22.64428,52.84501,14,12.4,7.22,11.2
22.63392,52.80968,8,10.9,5.31,1
22.49608,52.33279,9,10.5,6.81,5.7
22.28392,51.57277,14,164.4,5.18,46.2
22.24063,51.41362,2,32.1,3.78,9.4
22.00216,50.51126,4,14.2,5.1,1
22.89649,53.7836,16,12.1,7.42,15.2
22.56352,52.6715,5,9.5,5.44,2.5
22.54823,52.61852,2,1,8.19,2.7
22.42705,52.19449,7,7.8,6.47,5.1
21.91534,50.28399,2,14.4,4.77,4.6
21.75606,49.6463,22,11.9,5.37,11.4
22.9213,53.96318,8,12.1,6.73,9.8
22.72695,53.32791,4,18.8,4.57,4.9
22.66891,53.13376,13,10.3,5.63,6.8
22.43814,52.33892,15,12.2,5.86,12.8
22.2704,51.73793,4,9.9,7.54,8.2
22.26072,51.70258,2,27.8,4.24,5
22.18379,51.41961,2,22.9,4.38,6.8
22.1316,51.22502,6,13.1,4.26,4.3
21.964553,50.587913,0,234.1,3.6,20
21.89211,50.30463,13,23.6,6.77,16.3
21.73298,49.66688,17,14.3,4.9,7.6
22.85296,53.8429,0,325.9,6.19,151
22.39417,52.28895,6,8.8,5.39,1
22.34946,52.12988,3,12,6.99,5.9
22.13162,51.33413,14,7.2,5.96,10.2
21.92301,50.53766,1,11.2,4.58,2.6
21.88231,50.37836,2,18.9,4.58,2.9
22.68355,53.38718,5,6.6,7.8,6.3
22.25199,51.88542,6,20.3,4.35,3.5
22.12221,51.40788,3,9.1,4.36,8
22.0797,51.24866,9,7.7,5.83,6.5
21.954324,50.770798,2,44.8,3.96,4.9
21.89963,50.55837,3,18.3,7.14,7.6
22.76597,53.76099,14,10.2,5.63,7.9
22.52861,52.96648,3,9,5.68,4.5
22.16053,51.65851,4,6.2,5.5,3
22.12716,51.53471,4,8.6,4.36,2.2
21.78653,50.22474,10,29.6,5.89,3.6
21.59924,49.46272,35,40.7,5.59,14.7
22.32718,52.36878,11,17.9,7.3,16.9
22.28259,52.20969,17,67.6,7.29,34.6
22.19456,51.89141,0,375.9,5.64,130
22.08431,51.48458,2,5.7,5.52,3.1
21.981103,51.09528,10,17.8,6.33,11
21.77655,50.29847,4,12.1,4.55,1
22.71152,53.78494,7,6.1,7.53,6.6
22.67401,53.66137,3,14.9,4.19,1
22.44933,52.90198,6,18.3,5.12,5.5
22.35806,52.58391,6,5,4.93,3.4
22.13692,51.78829,8,8.7,4.93,2.9
22.05263,51.469,15,14.6,6.41,9.2
